Last Name,First Name,Middle Name,Agency,Position,Employer Name,Work Email Address,Filing Type,Filing Year,Due Date,Filed Date,NAME OF BUSINESS ENTITY,"GENERAL DESCRIPTION OF
THIS BUSINESS ACTIVITY","FAIR MARKET VALUE
(Select from drop down list)","NATURE OF INVESTMENT 
(Select from drop down list. 
If ""other,"" describe)","IF APPLICABLE, LIST DATE
(mm/dd/yyyy)",
,,,,,,,,,,,,,,,ACQUIRED,DISPOSED
Coursey,Chris,,County of Sonoma,Supervisor,,chris.coursey@sonoma-county.org,Annual,2021,04/01/2022,02/28/2022,ARC Healthcare REIT,REIT,"$10,001 - $100,000",REIT,,
Coursey,Chris,,County of Sonoma,Supervisor,,chris.coursey@sonoma-county.org,Annual,2021,04/01/2022,02/28/2022,ARC New York REIT,REIT,"$10,001 - $100,000",REIT,,
Coursey,Chris,,County of Sonoma,Supervisor,,chris.coursey@sonoma-county.org,Annual,2021,04/01/2022,02/28/2022,Carter Validus Mission Critical REIT,REIT,"$10,001 - $100,000",REIT,,
Coursey,Chris,,County of Sonoma,Supervisor,,chris.coursey@sonoma-county.org,Annual,2021,04/01/2022,02/28/2022,Hewlett-Packard Co,Diversified Computer Systems,"$2,000 - $10,000",Stock,,
Coursey,Chris,,County of Sonoma,Supervisor,,chris.coursey@sonoma-county.org,Annual,2021,04/01/2022,02/28/2022,KBS Legacy REIT,REIT,"$10,001 - $100,000",REIT,,
Coursey,Chris,,County of Sonoma,Supervisor,,chris.coursey@sonoma-county.org,Annual,2021,04/01/2022,02/28/2022,Medtronic Inc,Medical Appliances and Equipment,"$10,001 - $100,000",Stock,,
Coursey,Chris,,County of Sonoma,Supervisor,,chris.coursey@sonoma-county.org,Annual,2021,04/01/2022,02/28/2022,Phillips Edison REIT,REIT,"$10,001 - $100,000",REIT,,
Coursey,Chris,,County of Sonoma,Supervisor,,chris.coursey@sonoma-county.org,Annual,2021,04/01/2022,02/28/2022,Sierra Income Corp,BDC,"$10,001 - $100,000",Non-traded BDC,,
Coursey,Chris,,County of Sonoma,Supervisor,,chris.coursey@sonoma-county.org,Annual,2021,04/01/2022,02/28/2022,Stryker Corp,Medical Appliances and Equipment,"$10,001 - $100,000",Stock,,
Deas,Kevin,,County of Sonoma,Planning Commissioner,,kevin.deas@eandm.com,Annual,2021,04/01/2022,03/15/2022,Walt Disney Co,Entertainment Congolmerate,"$2,000 - $10,000",Stock,,
Gore,James,M,County of Sonoma,Supervisor,,District4@sonoma-county.org,Amendment - Annual,2021,04/01/2022,08/10/2022,Scoop,Technology,"$2,000 - $10,000",Advisory Shares,,
Gore,James,M,County of Sonoma,Supervisor,,District4@sonoma-county.org,Amendment - Annual,2021,04/01/2022,08/10/2022,"Portfolia Consumer Fund, LLC",Technology Platform,"$2,000 - $10,000",Stock,,
